Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Main Source
MALAYSIA,6600.0,14255.0,19429.0,27381.0,10146.0,8805.0,16368.0,32767.0,31545.0,33895.0,39686.0,38556.0,48846.0,49335.0,41486.0,46171.0,20040.0,23088.0,43862.0,108698.0,121619.0,109037.0,89487.0,83651.0,130282.0,87171.0,26978.0,65732.0,123133.0,122423.0,,TYCHO-ALL-19242017-SV_DF01-00
MARTINIQUE,516.0,416.0,235.0,44.0,268.0,171.0,4468.0,392.0,791.0,0.0,6080.0,4085.0,4918.0,586.0,1377.0,36579.0,275.0,1511.0,7040.0,1680.0,207.0,158.0,113.0,85.0,1530.0,32398.0,1073.0,360.0,13463.0,7371.0,,WHOPAHO-ALL-19802024-Y03-00
MEXICO,36029.0,35082.0,52561.0,23267.0,14655.0,21665.0,6019.0,8415.0,6234.0,7983.0,20912.0,27335.0,49119.0,25040.0,238389.0,51635.0,63628.0,165749.0,231498.0,124943.0,219593.0,130069.0,89961.0,78642.0,268494.0,120639.0,36742.0,59918.0,281615.0,558846.0,,WHOPAHO-ALL-19802024-Y03-00
MONTSERRAT,75.0,3.0,0.0,0.0,0.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,6.0,17.0,0.0,25.0,0.0,1.0,1.0,0.0,3.0,9.0,6.0,3.0,,WHOPAHO-ALL-19802024-Y03-00
MYANMAR,2063.0,1731.0,3697.0,12231.0,5495.0,1222.0,15503.0,15663.0,6792.0,6624.0,16965.0,10392.0,14658.0,17281.0,23681.0,15631.0,4297.0,7006.0,22166.0,14410.0,42540.0,10385.0,32891.0,22659.0,23203.0,15131.0,5446.0,24971.0,16130.0,6388.0,292.0,MOH-MMR-19702018-Y01-00
NEPAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,27.0,10.0,30.0,917.0,79.0,183.0,642.0,356.0,26.0,1523.0,1201.0,230.0,12100.0,630.0,540.0,54784.0,52790.0,41865.0,736.0,WHOSEARO-ALL-19852009-Y01-00
NICARAGUA,18454.0,2743.0,3058.0,13160.0,10401.0,6681.0,2333.0,2269.0,2715.0,8332.0,14678.0,10617.0,12278.0,8666.0,18063.0,25174.0,11881.0,30878.0,77179.0,35425.0,49326.0,88463.0,69472.0,59315.0,186405.0,53953.0,36741.0,97541.0,182642.0,92022.0,,WHOPAHO-ALL-19802024-Y03-00
PANAMA,3080.0,811.0,2628.0,2716.0,2782.0,314.0,1538.0,706.0,293.0,369.0,3998.0,4293.0,3399.0,2284.0,6783.0,1999.0,3844.0,1194.0,4774.0,5517.0,4815.0,9526.0,10702.0,7944.0,9741.0,3987.0,3685.0,11924.0,21437.0,37231.0,,WHOPAHO-ALL-19802024-Y03-00
PARAGUAY,0.0,0.0,0.0,0.0,1164.0,24282.0,38.0,1871.0,137.0,164.0,405.0,4271.0,28127.0,1953.0,6143.0,13523.0,42847.0,39063.0,144470.0,10014.0,68652.0,70215.0,2727.0,32359.0,16333.0,223782.0,16897.0,7428.0,79172.0,295785.0,,WHOPAHO-ALL-19802024-Y03-00
PERU,2732.0,6395.0,1357.0,988.0,554.0,5885.0,23350.0,8862.0,3622.0,9739.0,6342.0,5527.0,6875.0,12763.0,13326.0,18484.0,31439.0,31302.0,14742.0,19043.0,35837.0,31868.0,76223.0,6935.0,17622.0,56394.0,49274.0,72851.0,275881.0,280726.0,,WHOPAHO-ALL-19802024-Y03-00
